Candidate Name,Office,Participated,Notes
Austin Miller,Kennewick City Council Ward 1,TRUE,Responded with answers to questionnaire
Warren Hughs,Kennewick City Council Ward 3,TRUE,Responded with answers to questionnaire
John Trumbo,Kennewick City Council Ward 3,TRUE,Responded with answers to questionnaire
Gloria Tyler Baker,Kennewick City Council Position 4,TRUE,Responded with answers to questionnaire
Brad Klippert,Kennewick City Council Position 4,TRUE,Responded with answers to questionnaire
Leo A. Perales,Pasco City Council District 3,TRUE,Responded with answers to questionnaire
Bryan Verhei,Pasco City Council District 3,TRUE,Responded with answers to questionnaire
Melissa Blasdel,Pasco City Council District 6,TRUE,Responded with answers to questionnaire
Calixto Hernandez,Pasco City Council District 6,TRUE,Responded with answers to questionnaire
Pat Holten,Richland City Council Position 3,TRUE,Responded with answers to questionnaire
Donald Landsman,Richland City Council Position 4,TRUE,Responded with answers to questionnaire
John Maier,Richland City Council Position 4,FALSE,Did not respond
Kurt H. Maier,Richland City Council Position 6,FALSE,Did not respond
Kyle Saltz,Richland City Council Position 6,TRUE,Responded with answers to questionnaire
Colin Michael,Richland City Council Position 7,FALSE,Did not respond
Ryan Whitten,Richland City Council Position 7,TRUE,Responded with answers to questionnaire
David Cole,West Richland City Council Position 3,TRUE,Responded with answers to questionnaire
Robert Harvey Perkes,West Richland City Council Position 3,FALSE,Did not respond
Richard Bloom,West Richland City Council Position 4,TRUE,Responded with answers to questionnaire
Braden Sloughter,West Richland City Council Position 4,FALSE,Did not respond
Roy Keck,Port of Benton Commissioner District 1,TRUE,Responded with answers to questionnaire
Bill O'Neil,Port of Benton Commissioner District 1,FALSE,Did not respond
Raul Contreras Gonzalez,Port of Kennewick Commissioner District 2,FALSE,Did not respond
Tammy Kenfield,Port of Kennewick Commissioner District 2,TRUE,Responded with answers to questionnaire